Country,Survey,Current use of any modern method of contraception (all women),Unmet need for family planning,Unmet need for modern methods
Afghanistan,2015 DHS,,24.5,27.2
Albania,2017-18 DHS,2.8,15.2,57.5
Albania,2008-09 DHS,7.9,12.9,71.6
Angola,2015-16 DHS,12.5,38,39.1
Armenia,2015-16 DHS,18.1,12.5,41.7
Armenia,2010 DHS,16.9,13.5,41.1
Armenia,2005 DHS,12.3,19.3,52.9
Armenia,2000 DHS,14.4,18.1,56.3
Azerbaijan,2006 DHS,9,15.4,52.2
Bangladesh,2017-18 DHS,,12,21.9
Bangladesh,2014 DHS,,12,20.4
Bangladesh,2011 DHS,,13.5,22.6
Bangladesh,2007 DHS,,16.8,25.1
Bangladesh,2004 DHS,,15,25.9
Bangladesh,1999-00 DHS,,18.2,28.6
Bangladesh,1996-97 DHS,,19.7,27.4
Bangladesh,1993-94 DHS,,21.6,29.9
Benin,2017-18 DHS,11.7,32.3,35.4
Benin,2011-12 DHS,9,32.6,37.6
Benin,2006 DHS,6.9,27.3,38.2
Benin,2001 DHS,7,27.9,39.3
Benin,1996 DHS,3.4,27.7,40.6
Bolivia,2008 DHS,24,20.1,46.2
Bolivia,2003 DHS,23.7,22.8,46.3
Bolivia,1998 DHS,16.5,26.6,49.7
Bolivia,1994 DHS,11.9,28.9,56.4
Bolivia,1989 DHS,8,,
Botswana,1988 DHS,28.9,,
Brazil,1996 DHS,51,10.8,17.3
Brazil,1986 DHS,37.3,,
Burkina Faso,2010 DHS,14.3,24.5,25.7
Burkina Faso,2003 DHS,9.8,29.8,34.8
Burkina Faso,1998-99 DHS,5.8,30.3,37.3
Burkina Faso,1993 DHS,4,24.6,45.3
Burundi,2016-17 DHS,14.6,29.7,35.3
Burundi,2010 DHS,11,32.4,36.5
Burundi,1987 DHS,1,,
Cambodia,2014 DHS,26.6,12.5,30
Cambodia,2010 DHS,21.7,16.9,32.6
Cambodia,2005 DHS,16.4,25.3,38.1
